Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015March,3285
Cumulative number of confirmed Ebola cases,Guinea,2015March,2871
Cumulative number of probable Ebola cases,Guinea,2015March,392
Cumulative number of suspected Ebola cases,Guinea,2015March,22
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015March,2170
Cumulative number of confirmed Ebola deaths,Guinea,2015March,1778
Cumulative number of probable Ebola deaths,Guinea,2015March,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015March,9343
Cumulative number of confirmed Ebola cases,Liberia,2015March,3150
Cumulative number of probable Ebola cases,Liberia,2015March,1879
Cumulative number of suspected Ebola cases,Liberia,2015March,4314
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015March,4162
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015March,11619
Cumulative number of confirmed Ebola cases,Sierra Leone,2015March,8428
Cumulative number of probable Ebola cases,Sierra Leone,2015March,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015March,2904
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015March,3629
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015March,3263
Cumulative number of probable Ebola deaths,Sierra Leone,2015March,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015March,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015March,1
Cumulative number of probable Ebola cases,United Kingdom,2015March,0
Cumulative number of suspected Ebola cases,United Kingdom,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015March,1
Cumulative number of confirmed Ebola cases,Mali,2015March,7
Cumulative number of probable Ebola cases,Mali,2015March,1
Cumulative number of suspected Ebola cases,Mali,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015March,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015March,8
Cumulative number of confirmed Ebola cases,Nigeria,2015March,19
Cumulative number of probable Ebola cases,Nigeria,2015March,1
Cumulative number of suspected Ebola cases,Nigeria,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015March,20
Cumulative number of confirmed Ebola cases,Senegal,2015March,1
Cumulative number of probable Ebola cases,Senegal,2015March,0
Cumulative number of suspected Ebola cases,Senegal,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015March,1
Cumulative number of confirmed Ebola cases,Spain,2015March,1
Cumulative number of probable Ebola cases,Spain,2015March,0
Cumulative number of suspected Ebola cases,Spain,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015March,1
Cumulative number of confirmed Ebola cases,United States of America,2015March,4
Cumulative number of probable Ebola cases,United States of America,2015March,0
Cumulative number of suspected Ebola cases,United States of America,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015March,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015March,7
Cumulative number of probable Ebola deaths,Nigeria,2015March,1
Cumulative number of suspected Ebola deaths,Nigeria,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015March,8
Cumulative number of confirmed Ebola deaths,Senegal,2015March,0
Cumulative number of probable Ebola deaths,Senegal,2015March,0
Cumulative number of suspected Ebola deaths,Senegal,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015March,0
Cumulative number of confirmed Ebola deaths,Spain,2015March,0
Cumulative number of probable Ebola deaths,Spain,2015March,0
Cumulative number of suspected Ebola deaths,Spain,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015March,0
Cumulative number of confirmed Ebola deaths,United States of America,2015March,1
Cumulative number of probable Ebola deaths,United States of America,2015March,0
Cumulative number of suspected Ebola deaths,United States of America,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015March,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015March,1
Cumulative number of probable Ebola cases,United Kingdom,2015March,0
Cumulative number of suspected Ebola cases,United Kingdom,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015March,3248
Cumulative number of confirmed Ebola cases,Guinea,2015March,2840
Cumulative number of probable Ebola cases,Guinea,2015March,392
Cumulative number of suspected Ebola cases,Guinea,2015March,16
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015March,2147
Cumulative number of confirmed Ebola deaths,Guinea,2015March,1755
Cumulative number of probable Ebola deaths,Guinea,2015March,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015March,9249
Cumulative number of confirmed Ebola cases,Liberia,2015March,3150
Cumulative number of probable Ebola cases,Liberia,2015March,1877
Cumulative number of suspected Ebola cases,Liberia,2015March,4222
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015March,4117
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015March,11517
Cumulative number of confirmed Ebola cases,Sierra Leone,2015March,8389
Cumulative number of probable Ebola cases,Sierra Leone,2015March,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015March,2841
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015March,3576
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015March,3210
Cumulative number of probable Ebola deaths,Sierra Leone,2015March,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015March,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015March,1
Cumulative number of confirmed Ebola cases,Mali,2015March,7
Cumulative number of probable Ebola cases,Mali,2015March,1
Cumulative number of suspected Ebola cases,Mali,2015March,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015March,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015March,8
Cumulative number of confirmed Ebola cases,Nigeria,2015March,19
Cumulative number of probable Ebola cases,Nigeria,2015March,1
